epoch	time	lr	loss	acc	fscore_micro	val_loss	val_acc	val_fscore_micro
1	93.57601284599991	0.001	1.8306559718524773	35.07179781734635	0.3507179915904999	1.5591423193331435	44.50177578222158	0.4450177550315857
2	93.5009045439997	0.001	1.3397613779146873	53.60712234348076	0.536071240901947	1.2341139490463966	56.825035181616215	0.5682503581047058
3	93.35073324600035	0.001	1.0887331490404368	62.49569213095922	0.6249569058418274	1.0419775850210642	63.66012196118092	0.6366012096405029
4	93.74897313499969	0.001	0.9081936776672267	69.04078116025273	0.6904078125953674	0.9183130508364505	67.78127722256721	0.6778127551078796
5	93.6155015950003	0.001	0.7610905808460294	74.62952326249282	0.7462952136993408	0.7977286148093656	72.18387723801435	0.7218387722969055
6	93.52929827200023	0.001	0.634801142062352	79.55198161975876	0.7955198287963867	0.7004363787986634	76.03698988241364	0.7603698968887329
7	93.45959382199999	0.001	0.529403880586027	83.70189546237795	0.8370189666748047	0.6840068821468327	76.74060175593478	0.7674061059951782
8	93.66350537599965	0.001	0.4399787171006134	87.04192992533027	0.8704193234443665	0.6090259797082768	79.23339810978828	0.7923340201377869
9	93.60886132199994	0.001	0.35608282831467	90.25560022975301	0.9025560021400452	0.5511475257275452	81.29062520940829	0.8129062652587891
10	93.67675819800024	0.001	0.28991048529119345	92.61918437679495	0.9261918663978577	0.4943895798354017	83.48857468695341	0.8348857760429382
