epoch	time	lr	loss	bin_acc	val_loss	val_bin_acc
1	57.80538625100053	0.001	0.38128472674077757	83.48075818495117	0.24359359795988564	92.39429069375382
2	57.829389554000045	0.001	0.14502281044744922	94.64101091326823	0.0727719737423029	97.88916437713597
3	57.892285959999754	0.001	0.03371171137063387	99.30499712808731	0.041867122891755815	99.06855190333081
4	57.99680862900004	0.001	0.014330147668151416	99.85353245261344	0.03468211149323757	98.92112845942505
5	58.23634307500015	0.001	0.007111854319844948	99.96553704767375	0.06115531578830398	97.85565904978891
6	58.25884026099993	0.001	0.006377196414736008	99.95979322228604	0.021800826641990515	99.28298599477317
7	57.752881170000364	0.001	0.004483902161309107	99.97128087306146	0.021586258208613558	99.36339878040609
8	58.06498083099996	0.001	0.003010103145063155	99.97128087306146	0.018529297283417585	99.3700998458755
9	57.848240225000154	0.001	0.003964469829728085	99.96553704767375	0.02192681703439242	99.3768009113449
10	58.08900853900013	0.001	0.003336819577101545	99.96553704767375	0.061907827371366554	97.79534946209799
11	58.2607249470002	0.001	0.003203713419996464	99.97128087306146	0.01847493453934642	99.41700730416136
12	58.001374148999275	0.001	0.0020690903036203563	99.98276852383688	0.018972762081001106	99.39020304228373
13	57.97130531400035	0.001	0.0018784737557105001	99.97989661114302	0.017964448256447024	99.41030623869196
14	58.37548441400031	0.001	0.0025379674782835494	99.96553704767375	0.019951158167874634	99.33659451852844
15	57.88509454599989	0.001	0.0016017952544264509	99.98276852383688	0.01774126911069319	99.43040943510019
