epoch	time	lr	loss	acc	fscore_micro	val_loss	val_acc	val_fscore_micro
1	69.83973930899992	0.01	1.2796778090382073	53.345778288340036	0.5334577560424805	1.625254663478406	45.16518126561032	0.45165181159973145
2	60.202220242000294	0.01	0.6315514156145747	78.57553130384836	0.7857553362846375	1.9464640465317407	53.39408966204536	0.5339409112930298
3	59.492301723999844	0.01	0.15548137778844653	96.42159678345779	0.9642159938812256	0.10662008195776435	98.06339207934062	0.9806339144706726
4	61.50286361800045	0.01	0.03161839425437687	99.76450315910397	0.9976450204849243	0.053894099935796955	99.10205722709911	0.9910205602645874
5	58.2795065119999	0.01	0.014807268947673456	99.90235496840896	0.9990235567092896	0.059518566655204726	98.69999329893453	0.9869999289512634
6	58.24215852499947	0.01	0.009668316409997567	99.93968983342906	0.9993969202041626	0.033690483599738176	99.29638812571199	0.9929639101028442
7	56.81181753999954	0.01	0.0069582486700293725	99.95692130959219	0.9995692372322083	0.04291751480515351	99.06855189975207	0.9906855225563049
8	56.84480341899962	0.01	0.005705518743758405	99.95117748420448	0.9995117783546448	0.027563229281684757	99.33659451852844	0.9933659434318542
9	56.762080272000276	0.01	0.004449181745481467	99.97415278575531	0.9997415542602539	0.028507367549351167	99.3030891911814	0.9930309057235718
10	56.8100866650002	0.01	0.0037613514916549164	99.97702469844917	0.9997702240943909	0.024364331512637165	99.45721369697782	0.9945721626281738
