epoch	time	lr	loss	acc	fscore_micro	val_loss	val_acc	val_fscore_micro
1	69.06880469499993	0.007	1.4345409337437611	47.742676622630675	0.47742676734924316	1.9190208035899592	37.003283522016105	0.3700328469276428
2	60.66258585799915	0.007	1.030127395835846	62.38368753589891	0.623836874961853	1.5971361817842609	51.109026336209794	0.5110902786254883
3	60.591796128999704	0.007	0.8626609462044281	68.41470419299253	0.68414705991745	1.1628761001129473	60.75856061062592	0.607585608959198
4	60.98262005499964	0.007	0.7327309883852788	73.31418724870764	0.7331418991088867	1.6328980785539993	54.96884004658975	0.5496883988380432
5	60.7986723009999	0.007	0.6210100990424274	77.44399770246984	0.7744399905204773	0.6696259977949661	75.6282248872459	0.7562822699546814
6	60.9649322740006	0.007	0.5234840843610419	81.16025272831706	0.8116025328636169	0.9875736075408463	70.3343831664123	0.7033438086509705
7	60.6344566530006	0.007	0.42944804938752923	84.44572085008616	0.84445720911026	1.0253665246409434	66.99055149794376	0.6699055433273315
8	60.683742052000525	0.007	0.3579805744800124	87.07639287765652	0.8707639575004578	0.9068903578899026	73.03491255211813	0.7303491234779358
9	60.13608361399929	0.007	0.2898396198170785	89.58931648477886	0.8958931565284729	0.4001622270868362	86.10869128140257	0.861086905002594
10	60.87748373300019	0.007	0.2267394739344913	91.87535898908673	0.9187535643577576	3.5401852502665028	59.123500636856846	0.5912349820137024
11	60.75904046299911	0.007	0.19283586266327013	93.36875358989087	0.9336875081062317	5.442930419603366	41.425986732912875	0.4142598807811737
12	61.008327350999025	0.007	0.1716501044711801	94.35669155657668	0.9435669183731079	0.26549505534795464	91.20820210771332	0.9120820164680481
13	61.01565982600005	0.007	0.1100455129907468	96.26938541068351	0.9626938700675964	0.27920534287541976	91.19479997472949	0.911948025226593
14	60.874632986000506	0.007	0.08569376442175801	97.18552556002298	0.9718552827835083	0.21435774375455457	93.60718354218321	0.9360718131065369
15	60.93534484200063	0.007	0.06903960998178102	97.67375071797818	0.9767374992370605	0.2290497617552046	93.20511961555238	0.9320511817932129
16	61.4329144229996	0.007	0.06436492605193687	97.91211947156806	0.979121208190918	0.2297760933419938	93.25872814135266	0.9325872659683228
17	61.37556993700127	0.007	0.04901274385541626	98.4290637564618	0.9842906594276428	0.20708568779319667	93.9824432120489	0.9398244023323059
18	61.174658075999105	0.007	0.038976611951467705	98.71051120045951	0.987105131149292	0.5962714821665407	87.63653421251797	0.8763654232025146
19	61.32807490399864	0.007	0.05497317216537279	98.17633543940264	0.9817633628845215	0.2043036327104518	94.2571868962947	0.9425718784332275
20	61.111591466999016	0.007	0.031144960184615277	99.10683515221137	0.9910683631896973	0.18761382599685517	94.81337532667695	0.9481337070465088
21	60.88073821800026	0.007	0.025400716960792564	99.21309592188398	0.9921309351921082	0.2506079383252861	93.86182403359953	0.9386182427406311
22	61.28843227799916	0.007	0.025332331721815895	99.17001723147617	0.9917001724243164	0.21814636420002972	94.39120820568289	0.9439120888710022
23	60.90013961799923	0.007	0.026348747117771184	99.1671453187823	0.9916714429855347	0.19173883826113702	94.79997319727187	0.9479997158050537
24	60.040100886999426	0.007	0.020793394478051862	99.36530729465824	0.9936530590057373	0.17788806448964628	95.47007974267909	0.954700767993927
25	62.16844122599832	0.007	0.016570197752956147	99.50028719126938	0.9950028657913208	0.18837180447799706	95.11492327637913	0.9511492252349854
