epoch	time	lr	loss	acc	fscore_micro	val_loss	val_acc	val_fscore_micro
1	99.4453373790002	0.001	2.446195535917244	36.122917863296955	0.36122918128967285	1.5827338628743997	47.71828720741039	0.47718286514282227
2	94.34775732400067	0.001	1.2875231883088998	56.49052268811028	0.5649052262306213	1.1985076300573678	58.359579172832895	0.5835958123207092
3	101.4446203790003	0.001	1.0154886689287435	65.89603676048249	0.6589603424072266	1.0134121300523438	65.48951283611913	0.6548951268196106
4	94.53549361899968	0.001	0.8328602051680147	72.16255025847214	0.7216255068778992	0.9102885350619933	68.21684648216885	0.6821684837341309
5	93.89357691000077	0.001	0.6856281283256448	77.7972429638139	0.777972400188446	0.8681306222333015	70.01943308935003	0.7001943588256836
6	93.69870428499962	0.001	0.5591274735846785	82.83170591614015	0.8283170461654663	0.7524247339725143	74.34162031711925	0.7434161901473999
7	93.73793665600078	0.001	0.4511978800169426	86.8581275129236	0.8685812950134277	0.5910503229498664	80.40608456744623	0.8040608167648315
8	93.5208266210002	0.001	0.3611017031206748	90.26134405514073	0.9026134610176086	0.6395733572159729	78.52978623550028	0.7852978110313416
9	93.43865140299931	0.001	0.2859610082088429	93.13900057438254	0.9313899874687195	0.5241973691888352	82.53032232278284	0.8253031969070435
10	93.67099483400034	0.001	0.22790419413124535	94.8678920160827	0.9486789107322693	0.9419815446770815	67.96890705775569	0.6796890497207642
11	93.20316556800026	0.001	0.1795920940187729	96.51924181504883	0.965192437171936	0.6399935678287653	77.85967969060431	0.7785968780517578
12	93.52599693299999	0.001	0.14120648778217543	97.60482481332568	0.9760482311248779	0.5145048941289309	82.10815519667626	0.8210815787315369
13	93.18394985499981	0.001	0.11497169567345888	98.19356691556577	0.9819356799125671	0.887257539162741	69.46994572124188	0.6946994662284851
14	93.16447800400056	0.001	0.09602136261020838	98.72487076392878	0.9872487187385559	0.20233548924717323	94.0226496012866	0.9402264952659607
15	93.54591643300046	0.001	0.07466402931640642	99.20160827110855	0.992016077041626	0.866921204700392	71.29263552930475	0.7129263281822205
